Mission ID,Distance [m],Elevation [m],Cargo [kg],Battery Level,Time of Day [h],Traffic Level,Mode,Energy [kJ]
2083,258.95,-0.8,8.31,0.453,20.0,high,priority,825.122
2084,307.73,0.4,1.76,0.629,4.0,low,priority,490.044
2085,92.08,1.3,7.63,0.923,20.0,medium,normal,365.944
2086,111.44,-1.4,5.03,0.98,23.0,low,normal,344.792
2087,73.88,3.4,5.32,,9.0,high,normal,486.641
2088,299.47,1.2,5.11,0.852,18.0,low,priority,647.715
2089,223.94,-2.5,6.2,0.301,10.0,medium,normal,710.622
2090,101.87,-5.7,1.94,0.658,17.0,low,normal,454.861
2091,82.5,-3.5,3.42,0.489,13.0,high,normal,440.812
2092,101.01,1.0,1.41,0.741,4.0,medium,normal,202.57
2093,239.73,-0.7,7.54,0.36,10.0,high,normal,745.85
2094,234.03,-1.7,1.9,0.842,13.0,medium,normal,486.1
2095,219.73,-3.1,4.11,0.879,7.0,high,priority,620.374
2096,114.92,-4.0,4.46,0.723,3.0,low,normal,434.202
2097,289.28,-2.7,0.71,0.817,20.0,medium,normal,514.934
2098,182.2,-0.5,4.04,0.796,19.0,low,normal,379.5
2099,63.96,-0.9,2.85,0.648,0.0,medium,normal,156.513
2100,249.45,-0.1,0.0,0.584,10.0,,normal,377.378
2101,326.86,-1.3,8.5,0.805,0.0,low,priority,857.368
2102,195.4,-2.4,3.62,0.43,8.0,low,normal,444.132
2103,217.07,1.0,0.0,0.814,17.0,medium,priority,371.618
2104,94.2,-3.5,7.65,0.527,10.0,medium,priority,573.557
2105,297.1,1.5,3.0,0.427,3.0,medium,priority,643.604
2106,200.6,3.4,3.44,0.848,0.0,low,priority,575.573
2107,163.76,-1.9,9.08,0.516,22.0,low,normal,553.149
2108,138.59,-2.9,0.24,0.809,12.0,medium,normal,362.51
2109,188.79,1.2,0.79,0.727,14.0,high,normal,385.21
2110,301.3,0.0,7.01,0.477,7.0,,normal,712.477
2111,91.63,0.3,1.64,0.836,6.0,medium,normal,165.522
2112,206.84,2.8,4.49,0.5,6.0,low,priority,597.009
2113,210.59,1.1,7.12,0.94,4.0,medium,normal,590.109
2114,179.69,-0.9,2.92,0.875,19.0,medium,normal,367.582
2115,128.53,1.2,2.83,0.898,5.0,low,normal,256.673
2116,61.81,3.5,1.42,0.833,13.0,medium,normal,309.837
2117,90.7,2.7,4.01,0.513,2.0,medium,normal,341.658
2118,149.24,0.2,3.16,0.61,11.0,medium,priority,384.767
2119,203.47,-0.7,7.04,0.793,7.0,medium,priority,585.678
2120,103.86,-1.6,0.0,0.633,11.0,medium,normal,238.833
2121,96.95,,5.37,0.855,21.0,low,normal,442.959
2122,180.04,-3.4,7.53,0.943,7.0,low,normal,613.672
2123,117.26,0.3,0.0,0.551,0.0,low,normal,152.8
2124,241.42,2.5,2.96,0.806,8.0,low,normal,480.962
2125,93.56,1.7,5.78,0.571,6.0,low,normal,340.535
2126,119.87,-0.0,4.78,0.774,14.0,low,normal,292.815
2127,232.87,2.1,0.0,0.423,,,normal,341.031
2128,123.52,-3.7,4.94,0.855,11.0,medium,normal,565.581
2129,165.66,-2.0,5.85,0.519,13.0,medium,normal,542.318
2130,70.71,-2.7,3.07,0.539,4.0,medium,normal,268.618
2131,153.43,-0.7,1.13,0.48,21.0,medium,normal,249.25
2132,43.45,0.8,1.8,0.881,3.0,low,normal,102.267
2133,212.56,,0.0,0.645,2.0,low,priority,329.516
2134,293.39,0.3,0.0,0.602,10.0,medium,normal,429.469
2135,212.18,0.2,2.44,0.593,1.0,low,normal,337.56
2136,140.39,3.3,1.98,0.651,5.0,medium,normal,396.142
2137,107.57,-4.4,4.89,0.713,20.0,low,normal,486.265
2138,84.75,2.5,5.08,0.737,23.0,low,normal,331.557
2139,180.15,-2.0,9.13,0.692,14.0,medium,priority,811.694
2140,277.34,-0.8,7.86,0.79,15.0,medium,normal,816.307
2141,94.55,-4.3,6.21,0.67,16.0,medium,normal,539.117
2142,118.46,2.6,4.96,,1.0,low,priority,446.561
2143,75.72,-1.1,1.28,0.496,4.0,medium,normal,143.11
2144,172.99,1.3,4.29,0.546,22.0,low,priority,433.012
2145,230.06,-1.8,5.39,0.546,17.0,medium,normal,663.218
2146,83.93,0.4,3.16,0.434,19.0,low,,199.158
2147,203.08,-1.6,1.84,,11.0,medium,priority,494.213
2148,86.76,0.5,3.56,0.793,7.0,medium,priority,217.232
2149,233.54,-0.5,5.54,0.592,21.0,medium,priority,573.449
2150,106.72,2.1,4.08,0.976,20.0,medium,priority,391.777
2151,157.75,-1.8,5.07,0.542,10.0,,normal,529.236
2152,162.41,-0.5,5.82,0.639,18.0,low,normal,363.069
2153,162.35,3.7,0.75,0.471,17.0,low,priority,449.89
2154,138.58,1.0,3.98,0.313,5.0,low,normal,300.747
2155,111.22,3.7,3.09,0.498,1.0,low,normal,376.183
2156,153.42,2.1,0.0,0.903,22.0,medium,normal,276.836
2157,178.91,-4.0,1.29,0.885,20.0,low,normal,420.762
2158,73.31,0.4,1.12,0.945,15.0,low,normal,144.548
2159,200.09,-1.8,4.51,0.508,5.0,medium,normal,468.413
2160,165.95,-2.2,4.94,0.478,12.0,low,normal,497.606
2161,65.71,0.0,,0.793,3.0,medium,normal,150.165
2162,192.15,-3.9,7.35,0.979,7.0,low,normal,633.647
2163,290.68,1.7,9.7,0.891,10.0,low,normal,960.012
2164,141.31,1.6,1.45,0.743,23.0,low,normal,283.17
2165,33.77,4.7,9.43,0.387,20.0,medium,priority,572.447
2166,131.25,1.7,5.29,0.857,10.0,medium,priority,493.414
2167,119.03,1.8,8.47,0.784,11.0,high,normal,601.539
2168,,0.8,6.46,0.289,20.0,medium,normal,428.412
2169,301.26,-2.5,3.49,0.608,16.0,medium,normal,735.528
2170,202.44,-2.1,1.82,0.66,1.0,medium,normal,413.046
2171,68.54,2.6,4.25,0.637,9.0,low,priority,338.384
2172,98.75,-3.7,1.6,0.889,4.0,low,normal,308.029
2173,205.86,0.7,6.86,0.862,7.0,medium,priority,588.39
2174,129.28,0.9,5.67,0.542,4.0,medium,normal,352.448
2175,223.7,0.8,0.89,0.885,10.0,high,normal,439.726
2176,235.02,1.9,0.0,0.445,8.0,low,normal,328.01
2177,181.32,,4.59,0.467,7.0,medium,normal,469.21
2178,156.88,-0.6,1.22,0.9,19.0,low,normal,251.375
2179,113.26,0.5,1.74,0.394,10.0,medium,priority,260.951
2180,109.65,0.7,5.17,0.469,7.0,medium,normal,307.0
2181,206.7,-2.3,0.68,0.662,9.0,medium,normal,428.059
2182,185.01,-2.9,5.62,0.814,0.0,medium,normal,557.239
2183,119.31,-5.8,3.22,0.648,22.0,high,normal,514.653
2184,131.73,-1.0,2.52,0.869,9.0,high,normal,336.498
2185,258.06,2.3,4.44,0.79,3.0,low,priority,615.959
2186,,0.0,1.17,0.666,19.0,low,normal,137.34
2187,271.11,3.6,6.71,0.874,0.0,low,normal,775.364
2188,121.92,1.4,4.77,0.912,17.0,high,priority,457.974
2189,146.17,-0.7,6.1,0.728,16.0,medium,normal,471.858
2190,105.63,0.7,6.33,0.766,12.0,high,,394.332
2191,83.39,0.7,2.87,0.552,18.0,high,normal,219.248
2192,190.28,0.4,2.58,0.66,17.0,low,normal,344.158
2193,189.7,2.6,0.58,0.852,15.0,medium,normal,410.489
2194,103.24,-0.9,2.28,0.54,18.0,medium,normal,215.426
2195,241.27,-2.5,7.2,0.688,20.0,low,priority,697.918
2196,45.61,-4.5,3.29,0.81,2.0,high,priority,383.661
2197,208.67,2.5,1.32,0.954,21.0,low,priority,384.233
2198,125.76,1.6,3.12,0.629,13.0,medium,priority,395.706
2199,129.98,1.4,5.01,0.767,6.0,low,priority,371.436
2200,40.79,0.6,2.17,0.828,12.0,medium,normal,145.61
2201,144.83,-1.5,3.98,0.823,22.0,low,normal,338.065
2202,180.03,2.7,3.63,0.563,0.0,medium,priority,505.372
2203,42.07,2.5,5.72,0.853,23.0,low,normal,264.746
2204,103.25,1.4,0.54,0.714,5.0,medium,normal,177.749
2205,153.56,3.7,4.41,0.411,12.0,medium,normal,628.417
2206,85.43,0.5,3.2,0.686,1.0,medium,priority,244.762
2207,256.29,0.9,0.77,0.77,8.0,low,normal,353.216
2208,115.98,1.6,3.1,0.5,10.0,high,normal,372.984
2209,122.24,-2.4,4.78,0.833,12.0,high,priority,521.358
2210,161.48,0.8,4.93,0.883,23.0,medium,priority,445.432
2211,108.15,1.9,7.67,0.775,6.0,low,normal,424.661
2212,143.19,1.4,0.0,0.748,13.0,medium,normal,236.574
2213,142.02,0.1,0.0,0.745,14.0,low,normal,223.968
2214,45.19,-2.3,0.0,0.759,17.0,medium,normal,188.874
2215,57.69,-0.2,0.0,0.885,3.0,low,normal,68.506
2216,210.16,-2.3,2.88,0.733,18.0,medium,normal,493.849
2217,245.43,-0.1,4.7,0.67,22.0,low,normal,461.004
2218,151.18,-2.0,3.46,0.385,7.0,medium,normal,353.498
2219,202.22,-1.2,5.17,0.841,4.0,medium,normal,504.093
2220,224.4,1.6,2.4,0.821,23.0,low,normal,428.161
2221,180.09,-0.4,3.35,0.617,20.0,medium,normal,369.96
2222,82.14,-2.8,7.84,0.793,14.0,medium,normal,477.142
2223,,-1.8,4.92,0.896,4.0,medium,normal,606.372
2224,312.22,-5.8,10.45,0.667,2.0,medium,normal,1157.414
2225,108.38,-2.1,1.1,0.872,17.0,high,priority,340.331
2226,118.72,0.3,3.35,0.586,18.0,low,priority,294.307
2227,349.91,2.5,1.0,0.837,4.0,low,normal,558.88
2228,303.22,-4.0,0.56,0.877,23.0,high,normal,596.956
2229,108.54,2.7,3.73,0.774,22.0,low,normal,354.738
2230,111.37,-0.3,9.25,0.981,8.0,low,normal,399.674
2231,27.96,0.5,3.46,0.795,1.0,,normal,112.791
2232,,2.8,2.74,0.732,10.0,medium,normal,601.62
2233,193.43,-2.1,,0.639,9.0,medium,priority,516.816
2234,241.58,2.3,0.1,0.451,2.0,low,normal,383.349
2235,113.82,-0.5,0.0,0.693,7.0,low,normal,165.96
2236,235.45,0.7,2.75,0.865,20.0,,normal,416.073
2237,194.66,-0.3,9.44,0.445,17.0,medium,normal,677.624
2238,41.55,-0.9,8.47,0.364,19.0,high,normal,244.899
2239,106.03,-0.5,,0.897,23.0,medium,normal,212.291
2240,57.74,0.0,6.46,0.704,19.0,medium,normal,211.228
2241,50.44,-1.9,5.12,0.67,6.0,low,normal,261.344
2242,145.6,0.7,6.18,0.782,20.0,low,normal,371.509
2243,52.93,3.2,0.46,0.419,0.0,medium,normal,218.294
2244,89.54,-0.5,4.24,0.708,14.0,medium,normal,278.787
2245,291.36,-0.1,11.61,0.529,14.0,high,normal,1045.583
2246,147.85,-2.2,9.65,0.575,7.0,low,normal,587.487
2247,196.49,-5.7,9.34,0.536,17.0,medium,priority,1038.85
2248,32.01,1.0,3.25,0.912,5.0,medium,normal,141.478
2249,172.37,0.3,4.75,0.414,20.0,medium,normal,384.828
2250,168.84,-4.2,0.0,0.97,,low,normal,389.047
2251,38.22,3.7,4.19,0.855,14.0,medium,normal,336.717
2252,141.73,1.7,3.75,0.728,5.0,low,priority,407.433
2253,236.16,2.3,5.23,0.896,8.0,low,normal,595.89
2254,240.33,3.1,0.51,0.62,0.0,low,normal,454.78
2255,318.74,-2.5,0.0,0.466,5.0,medium,normal,499.867
2256,180.62,0.3,4.2,0.637,15.0,high,normal,455.637
2257,111.53,2.3,0.97,0.645,15.0,medium,priority,341.469
2258,167.8,-0.4,0.21,0.679,9.0,medium,priority,275.77
2259,55.93,-0.3,0.51,0.883,0.0,medium,priority,98.354
2260,302.59,1.5,2.03,0.796,17.0,medium,normal,569.891
2261,184.51,-1.3,1.61,0.666,7.0,medium,normal,304.378
2262,154.9,-3.8,0.0,0.703,2.0,low,normal,320.839
2263,283.64,-1.5,3.67,0.68,14.0,high,normal,669.37
2264,244.56,0.2,6.24,0.523,3.0,low,normal,518.555
2265,61.75,2.7,9.24,0.758,23.0,low,normal,416.576
2266,234.21,-2.6,0.0,0.809,22.0,low,normal,346.771
2267,79.91,2.3,8.32,0.851,16.0,high,normal,515.735
2268,202.38,-2.7,2.28,0.887,18.0,medium,priority,476.955
2269,266.09,-0.6,6.43,0.974,23.0,medium,normal,587.956
2270,134.32,2.4,7.05,0.727,18.0,high,normal,552.981
2271,107.88,-0.9,2.31,0.844,0.0,low,normal,223.637
2272,219.63,0.6,3.31,0.459,1.0,low,priority,417.673
2273,36.09,-2.7,0.0,0.744,17.0,high,normal,199.91
2274,223.23,3.7,0.64,0.356,7.0,low,normal,438.532
2275,207.38,0.6,4.37,0.619,6.0,medium,normal,445.265
2276,56.27,-1.7,5.06,0.454,1.0,medium,priority,283.85
2277,121.3,-0.9,3.87,0.621,18.0,low,normal,308.57
2278,116.27,-2.6,6.87,0.811,12.0,medium,normal,525.207
2279,142.9,-1.6,5.21,0.935,1.0,medium,normal,406.735
2280,130.08,3.2,2.08,0.742,13.0,low,normal,411.929
2281,273.43,1.1,2.19,0.687,1.0,low,normal,478.792
2282,218.42,-1.1,4.02,0.565,19.0,medium,priority,526.176
2283,297.09,-0.8,3.7,0.505,16.0,high,normal,666.472
2284,148.54,-0.9,3.8,0.78,10.0,high,normal,417.238
2285,169.27,-3.1,4.96,0.58,4.0,low,normal,457.742
2286,62.03,-1.1,7.09,0.543,2.0,medium,normal,254.66
2287,188.48,5.3,0.0,0.788,8.0,medium,normal,463.568
2288,124.75,1.9,0.0,0.85,15.0,medium,normal,271.033
2289,139.36,-0.3,3.29,0.622,7.0,low,normal,269.58
2290,112.06,-1.9,2.47,0.636,6.0,low,normal,295.828
2291,184.39,-2.2,5.03,0.541,15.0,medium,normal,581.925
2292,117.7,1.2,1.2,0.496,15.0,medium,priority,277.887
2293,244.22,-2.3,0.34,0.538,15.0,high,normal,478.661
2294,62.17,1.5,7.69,0.816,8.0,high,normal,356.563
2295,81.14,0.4,3.63,0.993,2.0,medium,normal,220.121
2296,49.18,1.8,3.95,0.813,11.0,high,normal,257.004
2297,195.28,-2.2,6.02,0.604,11.0,medium,priority,676.927
2298,144.53,-0.6,4.29,0.76,18.0,low,priority,378.386
2299,76.45,-0.4,4.65,0.669,1.0,medium,priority,242.875
2300,254.29,-0.8,0.0,0.778,6.0,medium,normal,356.908
2301,77.17,-2.8,4.32,0.796,20.0,low,,300.626
2302,34.46,-1.3,2.24,0.667,22.0,high,normal,149.577
2303,219.04,0.7,1.39,0.729,22.0,,normal,354.314
2304,104.23,4.6,1.35,0.747,13.0,low,normal,412.772
2305,213.15,1.7,0.45,,16.0,medium,normal,403.074
2306,136.29,-1.8,0.0,0.787,8.0,low,normal,225.499
2307,197.4,-2.5,1.31,0.754,21.0,low,normal,372.016
2308,176.69,-5.3,1.15,0.807,21.0,high,normal,524.267
2309,44.84,-2.3,2.89,0.756,10.0,low,normal,227.386
2310,83.34,-7.2,6.31,0.705,12.0,medium,normal,673.12
2311,137.02,2.7,3.75,0.33,13.0,medium,normal,487.53
2312,116.44,3.2,8.94,0.476,8.0,medium,normal,630.021
2313,376.11,-0.4,0.0,0.731,18.0,medium,normal,495.042
2314,57.98,2.2,6.18,0.706,11.0,medium,priority,401.851
2315,144.34,-0.1,2.07,0.586,6.0,low,normal,264.574
2316,105.77,-2.5,0.0,0.832,10.0,low,priority,298.134
2317,22.45,-1.5,7.67,0.962,16.0,low,normal,210.791
2318,112.59,0.1,5.2,0.827,11.0,medium,normal,328.681
2319,267.44,-2.2,4.84,,15.0,medium,normal,718.948
2320,109.94,2.2,1.92,0.622,14.0,low,normal,312.696
2321,218.52,3.5,6.19,0.713,13.0,medium,normal,805.82
2322,170.12,1.8,0.18,0.656,22.0,low,normal,300.824
2323,162.16,-0.8,8.79,0.53,9.0,high,priority,663.518
2324,148.43,-0.0,4.15,0.469,22.0,high,normal,331.595
2325,174.98,-0.4,2.58,0.905,23.0,medium,normal,330.447
2326,92.78,-2.0,7.53,0.932,16.0,high,normal,470.941
2327,63.56,-2.7,0.0,0.618,7.0,low,normal,179.034
2328,112.84,-1.0,8.13,0.752,0.0,low,normal,389.547
2329,329.54,-2.6,2.59,0.751,11.0,medium,priority,768.914
2330,66.72,-2.5,0.0,0.698,8.0,high,normal,243.053
2331,144.81,-0.3,2.28,0.571,15.0,medium,normal,311.468
2332,91.32,2.1,6.65,0.791,10.0,high,normal,490.855
2333,,5.2,5.09,0.825,0.0,,normal,887.874
2334,64.38,-1.6,0.0,0.586,16.0,medium,normal,207.07
2335,97.91,-4.1,4.32,0.324,9.0,low,normal,467.392
2336,294.22,0.4,4.17,0.831,6.0,low,normal,515.759
2337,71.01,3.4,0.0,0.774,4.0,low,normal,253.042
2338,59.59,-1.2,1.55,0.772,2.0,low,priority,193.98
2339,60.32,-1.7,0.0,0.824,23.0,low,normal,117.895
2340,74.32,-0.8,2.67,0.588,9.0,medium,normal,207.627
2341,170.55,-0.4,0.0,0.625,3.0,low,normal,207.206
2342,160.61,0.8,4.46,0.428,3.0,medium,normal,380.283
2343,75.14,-0.3,7.53,0.639,0.0,medium,normal,311.174
2344,231.82,2.6,8.23,0.553,22.0,low,normal,748.101
2345,52.32,-4.4,4.66,0.782,23.0,low,normal,361.218
2346,183.31,2.6,3.6,0.36,4.0,low,normal,461.371
2347,121.75,0.3,9.55,0.476,9.0,medium,normal,508.41
2348,170.51,0.6,4.58,0.825,3.0,medium,normal,398.62
2349,107.18,-1.2,2.83,0.626,8.0,low,priority,251.205
2350,160.36,0.9,1.52,0.892,2.0,low,normal,265.611
2351,288.89,-3.2,1.29,0.693,6.0,low,normal,527.413
2352,321.17,1.1,0.0,0.732,7.0,medium,priority,447.703
2353,248.31,0.6,1.2,0.889,18.0,low,normal,332.069
2354,77.84,0.9,,0.906,12.0,low,priority,308.399
2355,106.79,0.5,0.0,0.475,20.0,high,normal,198.706
2356,161.39,0.0,0.91,0.766,8.0,low,normal,208.976
2357,,1.7,2.82,0.515,6.0,low,priority,212.909
2358,316.81,0.1,3.07,0.952,3.0,medium,priority,570.881
2359,263.51,1.6,0.0,0.836,10.0,low,normal,388.626
2360,116.55,0.7,3.5,0.527,9.0,low,priority,303.417
2361,89.49,-4.0,1.49,0.879,21.0,medium,normal,328.699
2362,94.77,-0.1,7.0,0.929,9.0,low,normal,315.037
2363,214.44,-4.9,3.73,0.892,10.0,medium,normal,704.638
2364,240.11,0.3,6.12,0.908,6.0,medium,normal,548.006
2365,267.05,3.7,0.94,0.581,5.0,medium,priority,576.57
2366,80.82,0.6,2.88,0.907,5.0,low,priority,200.683
2367,202.63,3.4,5.25,0.83,9.0,medium,priority,752.18
2368,100.26,-4.4,5.28,0.881,18.0,medium,,479.177
2369,315.22,-0.9,6.89,0.827,13.0,medium,normal,836.151
2370,169.2,-1.5,7.8,0.413,19.0,low,priority,531.249
2371,83.98,-0.4,0.0,0.54,19.0,low,priority,140.772
2372,49.68,-0.2,0.0,0.932,5.0,low,normal,67.998
2373,302.37,0.5,0.43,0.594,23.0,low,normal,373.168
2374,240.48,0.3,2.67,0.739,7.0,medium,normal,401.692
2375,38.29,2.4,7.77,0.79,23.0,medium,normal,331.987
2376,112.58,-1.2,0.09,0.905,10.0,medium,priority,248.268
2377,45.07,1.4,5.11,0.763,20.0,low,normal,201.427
2378,93.79,0.5,0.63,0.519,22.0,medium,normal,161.224
2379,336.13,3.1,5.81,0.644,11.0,high,normal,1083.205
2380,185.37,2.5,4.04,0.719,5.0,medium,normal,494.599
2381,64.44,2.1,6.23,0.327,5.0,high,normal,385.804
2382,,-1.9,0.42,0.779,14.0,medium,priority,359.801
2383,218.23,-3.6,2.19,0.834,1.0,medium,normal,506.589
2384,209.23,-0.4,2.49,0.618,23.0,low,normal,349.971
2385,61.53,-0.7,0.42,0.706,5.0,medium,normal,107.416
2386,123.24,-1.4,0.0,0.609,8.0,medium,normal,203.422
2387,103.36,-1.5,2.88,0.643,8.0,medium,normal,270.186
2388,125.17,-1.4,1.11,0.822,5.0,medium,priority,288.878
2389,128.79,1.3,0.67,0.564,16.0,high,normal,274.122
2390,118.05,2.1,2.35,0.661,5.0,low,priority,313.027
2391,97.62,-0.3,4.43,,6.0,medium,priority,245.394
2392,103.3,5.2,2.2,0.469,13.0,high,priority,578.285
2393,237.41,4.2,4.93,0.674,15.0,medium,normal,821.585
2394,63.71,1.1,6.94,0.527,14.0,medium,priority,347.581
2395,159.18,2.0,3.4,0.584,6.0,low,priority,419.286
2396,59.72,0.9,1.2,0.567,14.0,high,priority,195.804
2397,209.2,-1.8,2.27,0.54,18.0,medium,priority,459.322
2398,229.34,2.2,0.69,0.929,18.0,low,normal,332.145
2399,176.91,0.6,2.44,0.789,12.0,medium,normal,351.074
2400,133.12,-1.3,0.2,0.498,5.0,medium,normal,230.235
2401,67.36,3.9,1.98,0.741,14.0,medium,normal,355.659
2402,87.04,1.0,5.72,0.848,8.0,high,normal,319.077
2403,166.63,0.1,3.97,0.589,5.0,low,normal,338.777
2404,136.25,1.9,6.07,0.884,8.0,high,normal,474.743
2405,110.96,1.0,10.41,0.318,13.0,medium,priority,551.469
2406,101.18,1.4,3.42,0.875,11.0,medium,normal,318.266
2407,212.7,0.7,2.97,0.478,6.0,low,normal,376.088
2408,115.42,-1.1,5.03,,,low,normal,321.994
2409,252.61,3.3,3.01,0.823,21.0,medium,normal,607.968
2410,135.12,-0.7,5.01,0.524,8.0,low,normal,338.15
2411,184.38,3.0,0.0,0.934,5.0,low,normal,358.251
2412,239.55,-0.2,3.12,0.808,16.0,medium,normal,459.67
2413,331.06,-3.0,7.77,0.674,16.0,high,priority,1247.275
2414,234.85,0.9,4.36,0.712,12.0,medium,normal,568.774
2415,166.78,0.9,5.51,0.926,5.0,medium,normal,441.982
2416,313.46,-1.6,4.54,0.765,21.0,low,normal,626.17
2417,150.17,4.0,7.55,0.963,2.0,low,priority,714.326
2418,116.48,3.8,0.0,0.55,13.0,high,normal,396.398
2419,168.47,1.3,5.17,0.483,3.0,high,normal,503.569
2420,166.76,-0.1,0.47,0.896,16.0,high,normal,274.814
2421,118.91,-2.1,0.0,0.879,11.0,medium,normal,289.828
2422,63.6,0.0,3.18,0.852,20.0,low,priority,177.789
2423,81.08,2.4,4.17,0.808,20.0,medium,normal,312.741
2424,210.08,-1.0,0.0,0.839,11.0,high,normal,362.634
2425,125.52,-0.9,6.89,0.391,0.0,low,normal,379.026
2426,88.49,2.9,7.36,0.9,10.0,high,normal,586.231
2427,244.61,-0.5,2.7,0.639,14.0,medium,normal,461.168
2428,190.15,-0.1,0.0,0.573,12.0,medium,normal,261.248
2429,197.62,-3.5,1.91,0.654,6.0,low,normal,432.945
2430,115.32,-2.7,2.46,0.698,5.0,medium,priority,382.872
2431,43.54,1.6,0.0,0.557,14.0,high,normal,138.314
2432,172.13,-1.7,0.0,0.704,2.0,low,normal,274.856
2433,244.69,3.5,1.9,0.578,13.0,low,normal,581.824
2434,181.63,-4.0,3.08,0.442,0.0,low,priority,562.937
2435,227.96,-2.5,5.41,0.865,14.0,high,normal,693.888
2436,150.13,1.5,4.08,0.521,6.0,low,priority,447.277
2437,88.93,-2.0,0.0,0.547,8.0,low,normal,210.884
2438,61.69,-0.3,2.1,0.363,12.0,low,normal,159.826
2439,124.42,1.3,5.27,0.882,20.0,low,normal,373.882
2440,79.87,4.1,3.7,0.456,6.0,low,normal,392.353
2441,112.11,3.2,4.58,0.976,13.0,medium,normal,490.672
2442,102.17,1.7,0.07,0.883,2.0,medium,priority,214.109
2443,138.12,2.2,3.11,0.901,14.0,medium,priority,461.711
2444,68.97,-0.2,0.0,0.39,23.0,low,priority,99.655
2445,,-1.4,3.08,0.772,5.0,low,normal,112.428
2446,104.84,1.7,3.1,,23.0,low,normal,270.943
2447,258.8,-2.6,10.83,0.643,13.0,medium,normal,991.202
2448,214.17,-1.5,2.5,0.664,6.0,low,priority,445.63
2449,94.94,0.4,3.26,0.599,10.0,high,normal,264.651
2450,173.18,0.5,3.71,0.918,2.0,medium,normal,376.765
2451,106.07,,1.55,0.512,8.0,low,priority,278.202
2452,210.78,-1.4,0.0,0.718,3.0,medium,priority,338.843
2453,134.91,1.2,3.73,0.872,21.0,low,normal,316.686
2454,144.63,1.2,7.68,,12.0,low,normal,512.904
2455,280.28,1.1,3.43,0.366,17.0,low,normal,610.614
2456,193.42,4.9,0.1,0.749,15.0,medium,normal,516.342
2457,193.31,-2.8,1.81,0.93,10.0,high,priority,559.19
2458,114.4,-1.1,8.55,0.744,16.0,medium,normal,480.731
2459,77.14,2.6,6.28,0.931,8.0,high,priority,449.056
2460,103.37,1.0,0.68,0.71,11.0,medium,normal,222.23
2461,244.15,3.1,2.98,0.57,23.0,low,normal,544.221
2462,131.44,-0.6,6.6,0.463,12.0,medium,normal,412.851
2463,59.64,1.0,0.56,0.45,18.0,low,normal,108.091
2464,145.56,2.4,4.26,0.281,22.0,low,normal,417.09
2465,323.36,-3.2,3.27,0.762,19.0,medium,normal,686.234
2466,144.38,3.5,3.79,,12.0,medium,normal,537.401
2467,142.79,-1.2,3.52,0.509,19.0,low,normal,324.916
2468,236.57,0.1,5.61,0.647,22.0,low,normal,523.349
2469,98.69,,3.35,0.785,8.0,low,normal,203.015
2470,254.74,-1.7,5.04,0.659,19.0,low,normal,547.8
2471,70.45,2.4,3.89,0.545,12.0,high,normal,365.429
2472,181.0,-0.4,0.52,0.82,21.0,high,normal,279.501
2473,108.03,-1.7,2.78,0.637,11.0,high,normal,346.928
2474,86.2,3.8,2.15,0.844,6.0,low,normal,330.976
2475,113.08,1.5,5.68,0.939,17.0,medium,normal,436.867
2476,228.8,-0.0,3.43,0.7,17.0,medium,normal,458.762
2477,86.54,0.9,0.0,0.91,3.0,low,normal,158.208
2478,295.57,3.3,0.85,0.733,7.0,medium,normal,539.153
2479,36.79,1.1,0.0,0.58,5.0,low,priority,127.805
2480,280.25,1.9,8.62,0.749,22.0,low,normal,787.981
2481,102.8,1.3,5.24,0.159,20.0,medium,normal,335.015
2482,71.41,-1.4,2.46,0.737,20.0,low,priority,199.751
2483,152.86,1.7,8.07,0.818,15.0,medium,normal,620.751
2484,104.01,-2.1,1.76,0.857,21.0,low,normal,220.913
2485,201.97,0.7,1.84,0.507,15.0,medium,priority,458.986
2486,272.63,2.4,2.46,0.869,19.0,low,normal,517.761
2487,159.74,-2.3,2.9,0.604,3.0,low,priority,429.983
2488,153.23,0.5,1.66,0.678,1.0,low,normal,237.879
2489,207.42,2.1,4.34,0.539,12.0,medium,priority,654.841
2490,145.45,-1.1,4.0,0.97,18.0,low,normal,322.179
2491,63.32,-1.0,4.21,0.7,0.0,medium,normal,189.774
2492,149.71,2.3,0.46,0.692,1.0,low,normal,304.398
2493,303.33,-2.3,3.76,0.651,4.0,medium,normal,603.346
2494,283.29,1.6,4.19,0.889,19.0,medium,normal,611.236
2495,278.39,-0.8,3.3,0.891,13.0,high,normal,660.247
2496,115.54,3.0,0.0,0.859,1.0,low,normal,280.393
2497,217.81,1.7,10.07,0.811,13.0,medium,priority,932.012
2498,303.16,-2.3,0.0,0.732,20.0,medium,normal,455.985
2499,178.1,-3.4,5.58,0.554,12.0,medium,priority,717.234
2500,80.27,1.2,5.45,0.858,9.0,medium,normal,329.786
2501,40.09,-1.8,5.37,0.923,10.0,high,normal,256.986
2502,90.78,2.9,5.06,0.738,2.0,medium,normal,414.688
2503,164.54,-6.8,8.71,0.444,16.0,low,normal,843.034
2504,45.91,-1.3,0.0,0.639,2.0,low,normal,123.433
2505,240.06,3.4,0.0,0.765,22.0,medium,normal,420.233
2506,23.0,3.3,3.25,0.65,6.0,medium,normal,260.053
2507,161.34,-1.2,3.34,0.903,13.0,medium,normal,412.878
2508,32.42,-0.2,1.4,0.562,13.0,low,normal,104.138
